# water_k, water_j,reference_k
282.269831,236874644.3,277.181769
282.258387,256145178,277.127361
282.245355,271836108.3,277.073432
282.231379,288121154.4,277.020407
282.21651,306065794.3,276.964831
282.20067,321434841.8,276.908159
282.184168,336556370,276.850835
282.167018,353830770.2,276.792682
282.149012,351017143,276.737628
282.132026,345688467.9,276.685397
282.11591,342930512.6,276.63503
282.100166,340378058.9,276.58632
282.069191,605851119.8,276.396069
282.029723,605118149.9,276.241823
281.996941,596952888,276.109549
281.968721,592604405.4,275.992078
281.943257,589762322.3,275.885963
281.919687,550248130.2,275.800348
281.900929,511138933.2,275.7321
281.885901,467548397.6,275.68034
281.874377,422000334.9,275.644252
281.866002,365997222.9,275.619674
281.861319,308089556.7,275.606398
281.859991,248487240.5,275.604188
281.861942,187153387.6,275.612845
281.86713,177727086,275.612781
281.870593,169519414.9,275.607626
281.873064,165041650.5,275.598803
281.874638,156543960.9,275.587952
281.875996,130472268.5,275.578862
281.878846,101049440.4,275.571655
281.883215,75500878.25,275.56564
281.888534,50499348.16,275.560806
281.894701,61458866.74,275.553141
281.89841,71850805,275.543616
281.900416,79211084.91,275.533226
281.901375,89346422.76,275.521757
281.901214,96064926.67,275.509003
281.900431,102469088.6,275.495277
281.899115,108707209.9,275.480787
281.897332,114805918.8,275.465682
281.895135,159482854.2,275.435573
281.88903,202567693.3,275.395098
281.87996,242334485.3,275.347106
281.868657,280822914.7,275.293578
281.856189,242785006.7,275.314559
281.851389,201696302.5,275.407064
281.854175,162334794.4,275.557765
281.864039,127316174.6,275.75514
281.880187,105971340.2,275.986862
281.900949,87269695.72,276.245814
281.925825,71421934.01,276.525068
281.954169,53960200.66,276.81928
281.985699,44962325.69,277.123918
282.019829,36894533.43,277.433765
282.057761,29599111.27,277.744069
282.098858,23406847.39,278.050452
282.14243,-1753879.03,278.346699
282.189604,-22530849.27,278.629126
282.239357,-40205923.09,278.894639
282.290782,-60640699.82,279.140686
282.343505,-46158109.54,279.364241
282.393714,-34547910.5,279.563048
282.441071,-20320793.83,279.734065
282.484749,-6954424.358,279.875068
282.524266,8766981.362,279.981793
282.558877,21709533.1,280.053425
282.588354,36443801.43,280.088123
282.612115,50386863.8,280.084766
282.629905,79584168.16,280.042898
282.640131,106108474,279.961638
282.643021,128719252.3,279.840419
282.639165,149290250.1,279.679054
282.629333,144261180.7,279.477992
282.616914,141614284.1,279.238254
282.603282,137511405.5,278.963937
282.589994,129643997.2,278.711898
282.577466,112436280.5,278.505668
282.566551,90404451.62,278.335206
282.557684,67389735,278.193969
282.550949,47103395.44,278.077148
282.546088,104150813.2,277.963752
282.536029,162315795.2,277.854627
282.520685,216639973.5,277.750045
282.500422,263498861.6,277.650292
282.47594,293690979.1,277.54033
282.448774,321242749.3,277.424364
282.419174,346546428.1,277.304833
282.387352,369670287,277.183336
282.353514,333840063.1,277.086527
282.326909,298905869.2,277.008517
282.308332,263427661.9,276.946504
282.295033,225597841.4,276.899244
282.285636,240917658.6,276.849069
282.274343,260097570.9,276.797785
282.261332,275633957.5,276.746952
282.24731,291723186.4,276.696995
282.232366,309656513.2,276.644457
282.21642,325007345.7,276.590795
282.199796,340103860.3,276.536452
282.182516,357349639.6,276.48125
282.164377,354505595.2,276.42912
282.147256,349145675.4,276.379784
282.131006,346356306,276.332284
282.115128,343772542.6,276.286415
282.083928,609179131.1,276.098978
282.045469,608603133.1,275.947503
282.013269,600861767,275.817965
281.985384,596857634.5,275.7032
281.960109,594307209.9,275.599764
281.93663,554842246.7,275.5168
281.917911,515755671.3,275.45118
281.902884,472174025.5,275.402024
281.891331,426624699.5,275.368518
281.882906,370717646.6,275.346502
281.878146,312899674.3,275.335767
281.876825,253379148.1,275.336079
281.878843,192151588.1,275.347238
281.884119,182849866.1,275.349657
281.887665,174774418.9,275.346964
281.890202,170420366.1,275.340582
281.891821,162049885.7,275.33215
281.893199,135992605.3,275.325458
281.896056,106576426.3,275.320627
281.900418,81030364.71,275.316967
281.90572,56027123.04,275.314467
281.911878,66876182,275.309116
281.915598,77168220.06,275.301882
281.917632,84426750.25,275.293763
281.918631,94464844.15,275.284545
281.918516,101195277.5,275.27402
281.917772,107613174.2,275.262502
281.916488,113862880.5,275.2502
281.914729,119970890.8,275.237262
281.912548,164439795,275.2093
281.906472,207313812.1,275.170951
281.897441,246880471.4,275.125063
281.886186,285161981.5,275.073617
281.873778,247135051.8,275.096665
281.869027,206059944,275.191229
281.871857,166710405.2,275.343983
281.881761,131702926.6,275.543408
281.897944,110478527.9,275.777177
281.918727,91888922.56,276.038171
281.943613,76158869.75,276.319463
281.971957,58812565.27,276.615706
282.003476,49817283.71,276.922369
282.037169,41749708.83,277.234232
282.074666,34338031.99,277.546543
282.11534,28030432.21,277.854922
282.1585,2963645.16,278.153153
282.205256,-17725917.14,278.437549
282.254584,-35333060.22,278.705015
282.305579,-55704353.56,278.953
282.357868,-41356676.02,279.178472
282.407656,-29882972.58,279.379178
282.454605,-15788409.83,279.552071
282.49789,-2550620.828,279.694928
282.537026,13129646.96,279.803485
282.571261,26023868.4,279.876922
282.600368,40712547.66,279.9134
282.623763,54606707.61,279.911796
282.641194,83604331.39,279.871654
282.65108,109934760.2,279.79209
282.653648,132367214,279.672539
282.649488,152764210.5,279.512812
282.639368,147700498.8,279.313359
282.626666,145015524.9,279.075199
282.612755,140877157.2,278.802431
282.599191,132972121.8,278.551917
282.586392,115667186.8,278.34719
282.575216,93539702.14,278.178214
282.566097,70432849.31,278.038448
282.559118,50057848.03,277.923084
282.554024,106817986.3,277.811131
282.543758,164710439.1,277.703436
282.528231,218777120.2,277.60027
282.507812,265398848.8,277.50192
282.483194,295550515.2,277.393346
282.455896,323067265.2,277.278755
282.426168,348336873.4,277.160583
282.394221,371427496.1,277.040432
282.360263,335608000.1,276.944955
282.336267,300680495.6,276.868264
282.319128,265946036.3,276.807558
282.306538,228569594.9,276.761594
282.297455,243940276.9,276.712705
282.286281,263054166.3,276.662695
282.273287,278475892.1,276.613125
282.259233,294419153.9,276.564418
282.244233,312344411,276.51312
282.228209,327681915.8,276.460687
282.211495,342759962.6,276.40756
282.194118,359984544.5,276.353564
282.175881,357117941.1,276.302627
282.15866,351734832.4,276.254474
282.14231,348922140.4,276.208146
282.126333,346315127.8,276.163437
282.095849,611771288.7,275.97715
282.057865,611422989.7,275.826807
282.025951,603939872.2,275.698388
281.998235,600162400.9,275.584729
281.973048,597813385.3,275.482388
281.9496,558370695.8,275.400508
281.930882,519290744.5,275.335962
281.915834,475708170.6,275.287872
281.904243,430152166,275.255423
281.895768,374314020.3,275.234454
281.890972,316561028.3,275.22476
281.889677,257109293,275.226103
281.891756,195968403.1,275.238286
281.897102,186764944.8,275.241721
281.900713,178791829.5,275.240036
281.903299,174532549.1,275.234653
281.90495,166258963.6,275.227212
281.906341,140212103.6,275.221502
281.909202,110800348.6,275.217643
281.913557,85255565.75,275.214948
281.918858,60250589.06,275.213404
281.925025,71018822.72,275.209
281.92877,81239497.3,275.202705
281.930839,88424873.92,275.195517
281.931878,98392303.88,275.18722
281.931806,105134929.1,275.177609
281.931099,111565689.1,275.166996
281.929844,117826051.7,275.155589
281.928107,123942548.1,275.14354
281.925942,168252466.2,275.116458
281.919894,210965336.4,275.07898
281.910903,250379718.8,275.033954
281.899696,288504403.1,274.983362
281.887345,250488835.2,275.007257
281.882645,209427163.3,275.102665
281.885518,170089607.6,275.256261
281.89546,135093154.2,275.456526
281.911678,113963951.7,275.691134
281.932484,95462797.38,275.952965
281.957382,79825346.54,276.235092
281.985729,62569671.47,276.532168
282.017243,53577446.22,276.839662
282.050637,45510897.03,277.152351
282.087797,38020037.28,277.465485
